,year,month,weekday,total,pedestrian,motorist,cyclist
584,2019,Jul,Thu,0,0,0,0
585,2019,Jul,Fri,1,1,0,0
586,2019,Jul,Sat,0,0,0,0
587,2019,Jul,Sun,1,1,0,0
588,2019,Jun,Mon,0,0,0,0
589,2019,Jun,Tue,0,0,0,0
590,2019,Jun,Wed,0,0,0,0
591,2019,Jun,Thu,1,0,0,1
592,2019,Jun,Fri,0,0,0,0
593,2019,Jun,Sat,0,0,0,0
594,2019,Jun,Sun,1,0,1,0
595,2019,Mar,Mon,0,0,0,0
596,2019,Mar,Tue,0,0,0,0
597,2019,Mar,Wed,0,0,0,0
598,2019,Mar,Thu,0,0,0,0
599,2019,Mar,Fri,0,0,0,0
600,2019,Mar,Sat,1,0,1,0
601,2019,Mar,Sun,0,0,0,0
602,2019,May,Mon,0,0,0,0
603,2019,May,Tue,1,0,1,0
604,2019,May,Wed,1,0,1,0
605,2019,May,Thu,0,0,0,0
606,2019,May,Fri,1,1,0,0
607,2019,May,Sat,0,0,0,0
608,2019,May,Sun,0,0,0,0
609,2019,Nov,Mon,0,0,0,0
610,2019,Nov,Tue,0,0,0,0
611,2019,Nov,Wed,1,1,0,0
612,2019,Nov,Thu,0,0,0,0
613,2019,Nov,Fri,0,0,0,0
614,2019,Nov,Sat,0,0,0,0
615,2019,Nov,Sun,0,0,0,0
616,2019,Oct,Mon,0,0,0,0
617,2019,Oct,Tue,0,0,0,0
618,2019,Oct,Wed,0,0,0,0
619,2019,Oct,Thu,0,0,0,0
620,2019,Oct,Fri,0,0,0,0
621,2019,Oct,Sat,2,1,0,1
622,2019,Oct,Sun,0,0,0,0
623,2019,Sep,Mon,0,0,0,0
624,2019,Sep,Tue,2,1,1,0
625,2019,Sep,Wed,0,0,0,0
626,2019,Sep,Thu,0,0,0,0
627,2019,Sep,Fri,0,0,0,0
628,2019,Sep,Sat,0,0,0,0
629,2019,Sep,Sun,0,0,0,0
630,2020,Apr,Mon,0,0,0,0
631,2020,Apr,Tue,0,0,0,0
632,2020,Apr,Wed,0,0,0,0
633,2020,Apr,Thu,0,0,0,0
634,2020,Apr,Fri,0,0,0,0
635,2020,Apr,Sat,1,0,1,0
636,2020,Apr,Sun,1,0,1,0
637,2020,Aug,Mon,0,0,0,0
638,2020,Aug,Tue,1,0,1,0
639,2020,Aug,Wed,0,0,0,0
640,2020,Aug,Thu,1,1,0,0
